"";"Number";"Name"
"1";"102";"Introduction to Architectural Studies"
"2";"104";"Housing, Urbanization, and Development"
"3";"106";"Sonic Architecture: Sound as Anthropogenic and Experiential Medium"
"4";"135";"Art and Architecture of Europe from 1400 to 1800"
"5";"154";"Art and Architecture of South Asia"
"6";"157";"The Postcolonial City"
"7";"206";"Auralized Architectures: Re-Sounding the Ancient Past"
"8";"208";"Architecture of Traditional Societies"
"9";"216";"Digital Constructions: Intermediate Architectural Design Studio"
"10";"218";"Precedents of Domesticity: &nbsp;Architectural Studies Design Seminar"
"11";"220";"Reinventing Tokyo: The Art, Literature, and Politics of Japan's Modern Capital"
"12";"242";"Material Culture of American Homes"
"13";"257";"The Colonial City: Global Perspectives"
"14";"355";"Renaissance Illusions: Art, Matter, Spirit"
"15";"356";"Baroque Art in Italy, France, Spain, and the Spanish Netherlands"
"16";"363";"Traumatic Events"
"17";"364";"Architectures of Disappearance"
"18";"365";"Making Memorials"
"19";"368";"SPACE"
"20";"369";"TIME"
"21";"375";"The Poetics and Politics of Sustainable Architecture"
"22";"490,";" 390 Special Topics"
"23";"499D,";", 499, 498 Senior Departmental Honors."
