"";"Number";"Name"
"1";"111";"Introduction to Black Studies"
"2";"123";"Survey of African Art"
"3";"147";"Race, Place, and the Law"
"4";"154";"Bob Marley and the Globalization of Jamaican Popular Music"
"5";"193";"The Postcolonial City"
"6";"200";"Critical Debates in Black Studies"
"7";"201";"Introduction to the Black Atlantic"
"8";"202";"Global Women's Literature"
"9";"203";"Women Writers of Africa and the African Diaspora"
"10";"204";"African Popular Music"
"11";"205";"Introduction to Postcolonial Theory"
"12";"209";"&ne; (Inequality)"
"13";"212";"Digital Africas"
"14";"214";"Master Musicians of Africa I: West Africa"
"15";"221";"Colonial and Post-Colonial Africa"
"16";"222";"South African History"
"17";"231";"African American History from the Slave Trade to Reconstruction"
"18";"232";"Foundations of African American Literature"
"19";"234";"Jazz History to 1945: Emergence, Early Development, and Innovation"
"20";"235";"Black Panther, Black Power"
"21";"236";"Black Sexualities"
"22";"237";"Incarcerating Blackness"
"23";"238";"African-American Religious History"
"24";"239";"Segregated America"
"25";"242";"Black Women's Narratives and Counternarratives: Love and the Family"
"26";"244";"Jazz History After 1945: Experimentalism, Pluralism, and Traditionalism"
"27";"247";"Panther Theory:&nbsp; Reading Black Power"
"28";"248";"Race and American Capitalism:&nbsp; from Slavery to Ferguson"
"29";"253";"The Colonial City: Global Perspectives"
"30";"291";"Black Radicalism in the Global South"
"31";"293";"African Art and the Diaspora"
"32";"294";"Black Europe"
"33";"295";"Black Existentialism"
"34";"296";"The Concept of Race"
"35";"300";"Research in Black Studies"
"36";"309";"Africa/Brazil"
"37";"313";"Visual Arts and Orature in Africa"
"38";"315";"Myth, Ritual and Iconography in West Africa"
"39";"316";"Five Colleges Capstone Course in African Studies"
"40";"321";"Riot and Rebellion in Colonial and Post-Colonial Africa"
"41";"327";"The Politics of Intervention in Africa"
"42";"330";"Spike Lee&rsquo;s Joints"
"43";"331";"Afro-Latinos"
"44";"332";"Red/Black Literature: At the Crossroads of Native American and African American Literary Histories"
"45";"336";"Contours of a Colorblind Culture"
"46";"341";"Topics in African American History: Race and Educational Opportunity in America"
"47";"342";"The Local and Global 1970s"
"48";"345";"Black Feminist Literary Traditions"
"49";"347";"Race, Sex, and Gender in the U.S. Military"
"50";"361";"Race and Nation: The History of Hispaniola"
"51";"362";"Childhood in African and Caribbean Literature"
"52";"365";"Race and Relationality"
"53";"371";"Race and Revolution in Cuban History"
"54";"377";"Bad Black Women"
"55";"381";"The Age of Emancipation in the Atlantic World, 1790-1900"
"56";"395";"Baldwin and the Black Atlantic"
"57";"412";"Corporeal States:&nbsp; Body, Nation, Text in Modern African Literature"
"58";"431";"The Long Civil Rights Movement"
"59";"432";"Exploring Ralph Ellison's <em>Invisible Man</em>"
"60";"441";"Ghosts in Shells? Virtuality and Embodiment from Passing to the Posthuman"
"61";"442";"Toomer, Faulkner, and Morrison"
"62";"452";"Panama Silver, Asian Gold:&nbsp; Reimagining Diasporas, Archives, and the Humanities"
"63";"461";"The Creole Imagination"
"64";"490,";" 390 Special Topics"
