"";"Number";"Name"
"1";"100";"Molecular Gastronomy and Food Science: from Test Tubes to Taste Buds"
"2";"151";"Introductory Chemistry"
"3";"155";"Fundamental Principles of Chemistry"
"4";"161";"Chemical Principles"
"5";"191";"Bridging Macroscopic and Molecular: Teaching and Learning through Experiments"
"6";"221";"Organic Chemistry I"
"7";"231";"Organic Chemistry II"
"8";"330";"Biochemical Principles of Life at the Molecular Level"
"9";"331";"Biochemistry"
"10";"351";"Quantum Chemistry and Spectroscopy"
"11";"361";"Physical Chemistry"
"12";"371";"Inorganic Chemistry"
"13";"390H,";", 290, 490, 290H, 490H, 390 Special Topics"
"14";"400";"Molecular and Cellular Biophysics"
"15";"418";"Advanced Organic Chemistry"
