"";"Number";"Name"
"1";"105";"Introduction to Oceanography"
"2";"107";"Biodiversity and Ecology of Marine Environments"
"3";"109";"Climate Change, Global Warming and Energy Resources"
"4";"111";"Principles of Geology"
"5";"121";"Surface Earth Dynamics"
"6";"251";"Paleontology and Geobiology"
"7";"271";"Mineralogy"
"8";"291";"Structural Geology"
"9";"301";"Hydrogeology"
"10";"311";"Sedimentology and Stratigraphy"
"11";"321";"Igneous and Metamorphic Petrology"
"12";"331";"Paleoclimatology
&nbsp;"
"13";"341";"Environmental and Solid Earth Geophysics"
"14";"401";"Plate Tectonics and Continental Dynamics"
"15";"431";"Geochemistry"
"16";"450";"Seminar in Biogeochemistry"
"17";"490";"Special Topics"
