"";"Number";"Name"
"1";"101";"Elementary German I"
"2";"102";"Elementary German II"
"3";"205";"Intermediate German"
"4";"210";"Advanced Composition and Conversation"
"5";"312";"Advanced Reading, Conversation, and Composition"
"6";"315";"German Cultural History to 1800"
"7";"316";"German Cultural History from 1800 to the Present"
"8";"320";"Fairy Tales"
"9";"331";"Berlin, Metropolis"
"10";"333";"Comedy and Humor"
"11";"334";"Cold War German Culture, East and West"
"12";"337";"G&uuml;nter Grass"
"13";"344";"Popular Cinema"
"14";"347";"Weimar Cinema: The ""Golden Age"" of German Film"
"15";"348";"Nazi Cinema"
"16";"350";"Rilke"
"17";"352";"Kafka, Brecht, and Thomas Mann"
"18";"354";"Nietzsche and Freud"
"19";"363";"Traumatic Events"
"20";"364";"Architectures of Disappearance"
"21";"365";"Making Memorials"
"22";"368";"SPACE"
"23";"390,";" 490 Special Topics"
