"";"Number";"Name"
"1";"105";"Calculus with Algebra"
"2";"106";"Calculus with Elementary Functions"
"3";"111";"Introduction to the Calculus"
"4";"121";"Intermediate Calculus"
"5";"135";"Introduction to Statistics via Modeling"
"6";"140";"Mathematical Modeling"
"7";"150";"Voting and Elections: A Mathematical Perspective"
"8";"205";"&ne; (Inequality)"
"9";"211";"Multivariable Calculus"
"10";"220";"Discrete Mathematics"
"11";"225";"Fractal Geometry"
"12";"240";"Mathematical Modeling of Biological Systems"
"13";"250";"Number Theory"
"14";"255";"Geometry"
"15";"260";"Differential Equations"
"16";"271";"Linear Algebra"
"17";"272";"Linear Algebra with Applications"
"18";"280";"Graph Theory"
"19";"284";"Numerical Analysis"
"20";"294";"Optimization"
"21";"310";"Introduction to the Theory of Partitions"
"22";"320";"Wavelet and Fourier Analysis"
"23";"345";"Functions of a Complex Variable"
"24";"350";"Groups, Rings and Fields"
"25";"355";"Introduction to Analysis"
"26";"359";"An Introduction to the p-adic Numbers"
"27";"360";"Probability"
"28";"365";"Stochastic Processes"
"29";"370";"Theoretical Statistics"
"30";"375";"Introduction to Representation Theory"
"31";"380";"Set Theory"
"32";"385";"Mathematical Logic"
"33";"410";"Galois Theory"
"34";"415";"Topics in Mathematics"
"35";"450";"Functions of a Real Variable"
"36";"455";"Topology"
"37";"490,";" 390 Special Topics"
"38";"498,";" 499 Senior Departmental Honors"
"39";"111,";" 111E Introduction to Statistics"
"40";"135";"Introduction to Statistics via Modeling"
"41";"220";"Bayesian Modeling and Inference"
"42";"225";"Nonparametric Statistics"
"43";"230";"Intermediate Statistics"
"44";"240";"Multivariate Data Analysis"
"45";"265";"Spatial Statistics"
"46";"320";"Statistical Communication"
"47";"360";"Probability"
"48";"370";"Theoretical Statistics"
