"";"Number";"Name"
"1";"111";"Philosophical Questions"
"2";"213";"Logic"
"3";"217";"Ancient Greek Philosophy"
"4";"218";"Early Modern Philosophy"
"5";"219";"Philosophy of Religion"
"6";"223";"Human Health: Rights and Wrongs"
"7";"225";"Environmental Philosophy"
"8";"226";"Political Philosophy: Justice, Freedom, and the State"
"9";"227";"Aesthetics"
"10";"229";"The Problem of Evil"
"11";"230";"Markets, Ethics, and Law"
"12";"231";"Philosophy of Sport"
"13";"310";"Ethics"
"14";"311";"Philosophy of Law"
"15";"332";"Metaphysics"
"16";"333";"Philosophy of Mind"
"17";"335";"Theory of Knowledge"
"18";"341";"Freedom and Responsibility"
"19";"360";"Origins of Analytic Philosophy: Frege, Russell, and the Early Wittgenstein"
"20";"361";"Continental Philosophy and the Critique of Autonomy"
"21";"362";"Crises of the Individual: Marx and Freud"
"22";"364";"Kant"
"23";"461";"Seminar: Skepticism"
"24";"463";"The Later Wittgenstein"
"25";"464";"Seminar: Population Ethics"
"26";"467";"Seminar: Philosophy of Music"
"27";"470";"Seminar: Equality/Inequality"
"28";"472";"Seminar: Identity"
"29";"473";"Seminar: Speech and Harm"
"30";"477";"Seminar: The Problem of Political Authority and Obligation"
"31";"478";"Ethics and the Limits of Philosophy"
"32";"490";"Special Topics"
"33";"498";"Senior Departmental Honors"
"34";"499";"Departmental Honors Course"
