"";"Number";"Name"
"1";"111";"Exploring the Cosmos"
"2";"200";"Practical Astronomy: Tools and Techniques for Astrophysical Problem Solving"
"3";"220";"Special Topics in Astronomy: Solar Astronomy"
"4";"226";"Cosmology"
"5";"228";"Astrophysics I: Stars and Galaxies"
"6";"335";"Astrophysics II: Stellar and Planetary Structure"
"7";"352";"Astrophysics III: Galaxies and the Universe"
"8";"490";"Special Topics"
"9";"499,";" 498 Senior Departmental Honors"
"10";"109";"Energy"
"11";"116";"Introductory Physics I: Mechanics and Wave Motion"
"12";"117";"Introductory Physics II: Electromagnetism and Optics"
"13";"123";"The Newtonian Synthesis: Dynamics of Particles and Systems, Waves"
"14";"124";"The Maxwellian Synthesis: Dynamics of Charges and Fields, Optics"
"15";"137";"Quantum Mechanics of Two-Level Systems"
"16";"225";"Modern Physics"
"17";"226";"Signals and Noise Laboratory"
"18";"227";"Methods of Theoretical Physics"
"19";"230";"Statistical Mechanics and Thermodynamics"
"20";"343";"Dynamics"
"21";"347";"Electromagnetic Theory I"
"22";"348";"Quantum Mechanics I"
"23";"400";"Molecular and Cellular Biophysics"
"24";"490";"Special Topics"
