"";"Number";"Name"
"1";"111";"Introduction to Religion"
"2";"121";"Fieldwork in Religious Communities"
"3";"123";"Popular Religion"
"4";"132";"Race and Religion in the Americas"
"5";"143";"Religion in Ancient India"
"6";"152";"Introduction to Buddhist Traditions"
"7";"160";"Buddhist Psychology in Modern Perspective"
"8";"170";"Material Culture of Religion in Late Antiquity"
"9";"171";"Images of Jesus"
"10";"172";"Christianity and Capitalism"
"11";"187";"Discovering Islam: Introduction to Islamic Traditions"
"12";"210";"What Is Religion Anyway?: Theories and Methods in Religious Studies"
"13";"215";"Religion in Scientific Perspective"
"14";"236";"Liberal Religion in the United States"
"15";"237";"Catholicism in the United States"
"16";"238";"African-American Religious History"
"17";"239";"Evangelical Christianity"
"18";"252";"Buddhist Life Writing"
"19";"253";"Theravada Buddhism"
"20";"261";"Women in Judaism"
"21";"263";"Ancient Israel"
"22";"265";"Prophecy, Wisdom, and Apocalyptic"
"23";"266";"Why Do the Innocent Suffer?"
"24";"267";"Reading the Rabbis"
"25";"273";"Christian Scriptures"
"26";"274";"The Parables of Jesus"
"27";"275";"History of Christianity--The Early Years"
"28";"278";"Christianity, Philosophy, and History in the Nineteenth Century"
"29";"284";"Knowledge Triumphant in Classical Islam"
"30";"285";"The Qur'&#257;n and Its Controversies"
"31";"316";"Philosophy of Religion"
"32";"318";"The Problem of Evil"
"33";"322";"Religion, Empires, and Secular States in the Nineteenth Century"
"34";"323";"Religion and Conspiratorial Thinking"
"35";"352";"Buddhist Ethics"
"36";"362";"Folklore and the Bible"
"37";"365";"Personal Religion in the Bible"
"38";"370";"Close Readings:&nbsp; The Classics of Judaism and Christianity"
"39";"372";"The Secret Jesus"
"40";"382";"Islamic Intellectual Tradition: The Classics"
"41";"385";"The Islamic Mystical Tradition"
"42";"490";"Special Topics"
"43";"498,";" 499D Senior Departmental Honors"
"44";"499";"Senior Honors"
