"";"Number";"Name"
"1";"110";"Spanish I"
"2";"120";"Spanish II"
"3";"125";"Spanish III"
"4";"130";"Spanish IV"
"5";"135";"Spanish Conversation"
"6";"140";"Spanish for Heritage Speakers"
"7";"199";"Spanish Writing Workshop"
"8";"210";"Camino de Santiago"
"9";"211";"Introduction to Hispanic Literatures"
"10";"212";"Hispanic World: Past, Present and Future"
"11";"220";"Introduction to the Writings of the Hispanic Caribbean"
"12";"222";"Short Stories from the Hispanic World"
"13";"226";"<em>Mare Nostrum</em>: The Caribbean as Idea and Invention"
"14";"232";"Strange Girls: Spanish Women's Voices"
"15";"236";"Representation and Reality in Spanish Cinema"
"16";"238";"Latin American Cinema"
"17";"317";"Women in Early Modern Spain"
"18";"318";"Cultural Encounters: Islam in Spain"
"19";"340";"Violence, Art, and Memory of the Spanish Civil War"
"20";"344";"The Baroque Roots of Latin American Culture"
"21";"345";"Latina Stories: Making Waves in the USA"
"22";"346";"Cuba after 1989: Culture, Film, and Literature"
"23";"352";"Barcelona"
"24";"360";"Jorge Luis Borges"
"25";"363";"<em>One Hundred Years of Solitude</em>"
"26";"364";"<em>Don Quixote</em><em></em>"
"27";"365";"Shakespeare in Prison"
"28";"376";"Life Is a Dream"
"29";"377";"Travel"
"30";"380";"Impostors"
"31";"385";"Multicultural Spain"
"32";"389";"Reading Spain"
"33";"393";"Journeys to/from/in Spain"
"34";"394";"Spanglish"
"35";"490";"Special Topics"
